lpar,stop_iter,max_altmin_cnt,runtime,objective,active set size,active set drop,SiGD count,SiGD percent
20000,1000000,100,2406.75,2.77E-04,30341,179,999137,0.999137
20000,1000000,1000,3023.9,2.36E-04,30513,211,997505,0.997505
20000,1000000,5000,5197.13,2.01E-04,30648,242,997772,0.997772
20000,2000000,100,5173.26,2.66E-04,30340,180,1998338,0.999169
20000,5000000,100,10244.2,2.43E-04,30334,186,4997666,0.9995332
20000,5000000,10000,20853.5,1.54E-04,30623,284,4997708,0.9995416
25000,1000000,100,2979.05,2.83E-04,30299,201,998382,0.998382
25000,1000000,1000,3038.08,2.28E-04,30482,254,997808,0.997808
25000,1000000,5000,4950.98,2.04E-04,30644,207,998947,0.998947
25000,1000000,10000,4712.71,1.99E-04,30676,239,998202,0.998202
25000,5000000,10000,21378.6,1.58E-04,30669,246,4997355,0.999471
30000,1000000,100,2959.68,3.09E-04,30250,160,998425,0.998425
30000,1000000,1000,2989.69,2.38E-04,30464,224,999030,0.99903
30000,1000000,5000,5267.08,3.14E-04,30684,183,997098,0.997098
30000,1000000,10000,4877.31,3.13E-04,30711,192,998708,0.998708
30000,5000000,10000,21614.1,2.41E-04,30710,193,4998252,0.9996504
